HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
2920909900,2022-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29211110,2016-01-01,2022-12-31,메틸아민과 그 염,Methylamine and its salts,,,,,,,,,,,,,,
2921111010,2002-01-01,2022-12-31,메틸아민,Methylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921111020,2002-01-01,2022-12-31,메틸아민의 염,Salts of methylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29211120,2016-01-01,2022-12-31,디메틸아민과 그 염,Dimethylamine and its salts,,,,,,,,,,,,,,
2921112010,2002-01-01,2022-12-31,디메틸아민,Dimethylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921112020,2002-01-01,2022-12-31,디메틸아민의 염,Salts of dimethylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29211130,2016-01-01,2022-12-31,트리메틸아민과 그 염,Trimethylamine and its salts,,,,,,,,,,,,,,
2921113010,2002-01-01,2022-12-31,트리메틸아민,Trimethylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921113020,2002-01-01,2022-12-31,트리메틸아민의 염,Salts of trimethylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921120000,2017-01-01,2022-12-31,"2-(엔,엔-디메틸아미노)에틸클로라이드 염산염","2-(N,N-Dimethylamino)ethylchloride hydrochloride",,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921130000,2017-01-01,2022-12-31,"2-(엔,엔-디에틸아미노)에틸클로라이드 염산염","2-(N,N-Diethylamino)ethylchloride hydrochloride",,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921140000,2017-01-01,2022-12-31,"2-(엔,엔-디이소프로필아미노)에틸클로라이드 염산염","2-(N,N-Diisopropylamino)ethylchloride hydrochloride",,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921192000,2007-01-01,2022-12-31,디에틸아민과 그 염,Diethylamine and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29211990,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
2921199010,2002-01-01,2022-12-31,디메틸라우릴아민,Dimethyl laurylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921199090,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921211000,2002-01-01,2022-12-31,에틸렌디아민,Ethylenediamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921212000,2002-01-01,2022-12-31,에틸렌디아민의 염,Salts of ethylenediamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921221000,2002-01-01,2022-12-31,헥사메틸렌디아민,Hexamethylenediamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921222000,2002-01-01,2022-12-31,헥사메틸렌디아민아디페이트,Hexamethylenediamine adipate,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921229000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921291000,2002-01-01,2022-12-31,디에틸렌 트리아민,Diethylenetriamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921292000,2002-01-01,2022-12-31,트리에틸렌 테트라아민,Triethylene tetramine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921299000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921301000,2002-01-01,2022-12-31,시클로 헥실아민,Cyclohexylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921309000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921411000,2002-01-01,2022-12-31,아닐린,Aniline,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921412000,2002-01-01,2022-12-31,아닐린의 염,Salts of aniline,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921423000,2022-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,,,,KG,41301,26901,,,,,,25020501,(농약)
29214290,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
2921429020,2022-01-01,2022-12-31,아닐린의 니트로할로겐화 유도체,Nitrohalogenated derivatives of aniline,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921429090,2007-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921434000,2022-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,,,,KG,41301,26901,,,,,,25020501,(농약)
2921435000,2022-01-01,2022-12-31,파라-톨루이딘-메타-술폰산과 그 염,Para-toluidine-m-sulfonic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
